,,,DSOP-3,,DSPP-1,,
benchmark,inputs,outputs,cubes,time,pcubes,time,improvement
sym10,10,1,232,1.11,93,15.68,59.91%
clip,9,5,140,0.39,76,0.83,45.71%
tial,14,8,874,2.98,524,189.48,40.05%
gary,15,11,124,0.49,158,2.47,-27.42%
ex5,8,63,122,0.8,315,5.08,-158.2%
soar,83,94,434,1.58,453,13.58,-4.38%
b2,16,17,121,0.54,561,16.75,-363.64%
ibm,48,17,361,0.99,299,4.73,17.17%
max1024,10,6,334,0.54,212,15.05,36.53%
apex4,9,19,503,0.31,655,8.51,-30.22%
addm4,9,8,214,0.4,138,2.25,35.51%
dist,8,5,130,0.38,101,0.75,22.31%
bc0,26,11,202,0.68,426,21.04,-110.89%
apex3,54,50,350,0.68,475,10.47,-35.71%
intb,15,7,798,2.57,452,211.51,43.36%
in4,32,20,280,1.33,370,68.77,-32.14%
vtx1,27,6,204,0.64,116,6.77,43.14%
misex3,14,14,1032,2.68,722,240.26,30.04%
table3,14,14,180,0.33,362,9.05,-101.11%
table5,17,15,161,0.38,383,17.48,-137.89%
chkn,29,7,168,0.88,134,168.29,20.24%
alu4,14,8,881,2.32,540,256.79,38.71%
AVERAGE,,,356.59,1.05,343.86,58.44,3.57%
